contrast-45,energy-45,homogenity-45,correlation-45,dissimilarity-45,ASM-45,target
1.766.642.431,0.04776224,0.2900807,0.90477872,201.117.057,0.00351113,2
1.668.316.909,0.05176384,0.29192607,0.89161241,199.555.184,0.0040403,2
1.778.060.648,0.04893741,0.28855978,0.89587142,205.075.808,0.00360527,2
1.907.568.148,0.04613808,0.27995788,0.90432677,209.176.143,0.00327491,2
1.556.531.806,0.05224781,0.30743913,0.90935386,189.570.792,0.00410939,2
1.705.768.392,0.05167634,0.28802623,0.88136495,201.849.498,0.00403872,2
1.683.874.901,0.05122017,0.29843605,0.89331951,202.362.319,0.00391612,2
1.796.450.823,0.05064566,0.28552486,0.88623931,202.241.918,0.00394371,2
1.718.630.664,0.04979183,0.29302361,0.89541021,200.483.835,0.00376701,2
1.586.000.157,0.05074649,0.30255091,0.90478224,191.670.011,0.00391016,2
1.768.752.027,0.0499665,0.29114931,0.89534566,209.392.419,0.00370532,1
1.529.532.108,0.05816177,0.30804071,0.87573477,195.053.512,0.00495384,1
138.708.963,0.05842786,0.32031741,0.89010049,181.975.474,0.0050745,1
1.769.132.336,0.05017854,0.29145764,0.89539048,208.316.611,0.00371578,1
1.854.226.463,0.04893812,0.28772379,0.89638402,21.374.359,0.00355955,1
1.600.784.108,0.05528866,0.30117384,0.88290846,19.661.427,0.00455201,1
1.474.684.847,0.05586489,0.30947946,0.89523886,189.154.961,0.00464208,1
1.393.339.001,0.05890071,0.31763179,0.88632658,18.519.175,0.00504401,1
1.656.211.899,0.05327153,0.29693118,0.88510533,197.694.537,0.00429284,1
1.657.507.187,0.05425148,0.29873935,0.8814917,199.523.969,0.00438733,1
1.262.138.007,0.05401571,0.32870513,0.92058887,172.733.556,0.00447338,3
1.195.002.293,0.054619,0.33672919,0.92811089,168.369.008,0.00452387,3
1.253.002.763,0.05435134,0.33490956,0.92500305,170.128.205,0.00447364,3
929.333.005,0.06380138,0.3823362,0.94041554,14.154.961,0.00607186,3
1.885.654.523,0.04818549,0.29499519,0.91812373,211.956.522,0.00348419,3
1.167.351.596,0.05713681,0.32878308,0.91274559,166.123.746,0.0050031,3
1.200.621.917,0.05577023,0.34171416,0.92429605,164.023.411,0.00469729,3
1.269.565.217,0.05312054,0.32824831,0.92496503,166.023.411,0.00441443,3
1.084.455.431,0.06001233,0.35690159,0.92487079,155.114.827,0.00545981,3
